,상호,주소,가격,셀프,상표,구
286,뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),1497.0,N,알뜰주유소,강서구
287,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),1497.0,Y,현대오일뱅크,강서구
288,화곡역주유소,서울 강서구 강서로 154 (화곡동),1497.0,Y,알뜰주유소,강서구
289,목화주유소,서울 강서구 국회대로 251 (화곡동),1512.0,Y,알뜰주유소,강서구
290,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2 (방화동),1513.0,Y,SK에너지,강서구
291,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),1514.0,Y,현대오일뱅크,강서구
292,스카이주유소,서울 강서구 개화동로 457 (방화동),1514.0,Y,S-OIL,강서구
293,유턴주유소,서울 강서구 남부순환로 57,1514.0,Y,알뜰주유소,강서구
294,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),1515.0,Y,SK에너지,강서구
295,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,1515.0,Y,SK에너지,강서구
296,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),1554.0,Y,GS칼텍스,강서구
297,대성석유(주) 관문주유소,서울 강서구 공항대로 314,1586.0,N,GS칼텍스,강서구
298,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,1586.0,Y,SK에너지,강서구
299,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,1587.0,Y,현대오일뱅크,강서구
300,우장산주유소,서울 강서구 강서로 292 (내발산동),1595.0,Y,SK에너지,강서구
301,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),1596.0,N,현대오일뱅크,강서구
302,화곡현대주유소,서울 강서구 강서로 151 (화곡동),1596.0,Y,SK에너지,강서구
303,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,1596.0,Y,GS칼텍스,강서구
304,대성석유(주)방화대성주유소,서울 강서구 양천로 176,1596.0,Y,GS칼텍스,강서구
305,개화주유소,서울 강서구 양천로 57,1597.0,Y,SK에너지,강서구
306,강서열린주유소,서울 강서구 등촌로 213 (등촌동),1598.0,N,GS칼텍스,강서구
307,신화곡주유소,서울 강서구 국회대로 71,1598.0,Y,S-OIL,강서구
308,HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),1608.0,N,현대오일뱅크,강서구
309,(주)한진 김포공항주유소,서울 강서구 하늘길 259,1610.0,Y,S-OIL,강서구
310,세원제1주유소,서울 강서구 양천로 311 (가양동),1618.0,Y,SK에너지,강서구
311,대성주유소,서울 강서구 강서로 472,1618.0,N,GS칼텍스,강서구
312,SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),1618.0,N,SK에너지,강서구
313,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,1639.0,Y,S-OIL,강서구
314,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),1647.0,Y,S-OIL,강서구
315,코리나(주)청룡주유소,서울 강서구 양천로 576,1648.0,N,SK에너지,강서구
316,박물관주유소,서울 강서구 양천로53길 97 (가양동),1658.0,N,GS칼텍스,강서구
317,참솔에너지,서울 강서구 벌말로 281 (오곡동),1765.0,Y,S-OIL,강서구
318,염창동주유소,서울 강서구 양천로 720 (염창동),1939.0,N,SK에너지,강서구
319,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,1564.0,N,현대오일뱅크,관악구
320,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),1566.0,Y,SK에너지,관악구
321,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1569.0,Y,GS칼텍스,관악구
322,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),1577.0,Y,알뜰주유소,관악구
323,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),1589.0,N,현대오일뱅크,관악구
324,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),1594.0,Y,현대오일뱅크,관악구
325,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),1595.0,N,SK에너지,관악구
326,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),1595.0,N,SK에너지,관악구
327,현대주유소,서울 관악구 난곡로 108 (신림동),1597.0,N,현대오일뱅크,관악구
328,유림주유소,서울 관악구 신림로 176 (신림동),1598.0,N,S-OIL,관악구
329,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),1665.0,Y,SK에너지,관악구
330,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1696.0,N,S-OIL,관악구
331,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,1699.0,N,GS칼텍스,관악구
332,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),1718.0,N,GS칼텍스,관악구
333,태양주유소,서울 광진구 동일로 345 (중곡동),1534.0,N,현대오일뱅크,광진구
334,용마주유소,서울 광진구 용마산로 68 (중곡동),1535.0,N,GS칼텍스,광진구
335,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),1535.0,Y,현대오일뱅크,광진구
336,(주)창원CW,서울 광진구 광나루로 460 (화양동),1535.0,Y,현대오일뱅크,광진구
337,대원주유소,서울 광진구 용마산로 122 (중곡동),1535.0,N,S-OIL,광진구
338,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),1537.0,Y,현대오일뱅크,광진구
339,HD현대오일뱅크㈜직영 중원셀프주유소,서울 광진구 동일로 398 (중곡동),1537.0,Y,현대오일뱅크,광진구
340,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),1556.0,Y,현대오일뱅크,광진구
341,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),1557.0,Y,S-OIL,광진구
342,(주)장수주유소,서울 광진구 동일로 266 (군자동),1586.0,Y,SK에너지,광진구
343,삼호주유소,서울 광진구 천호대로 809 (광장동),1657.0,Y,S-OIL,광진구
344,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),1658.0,N,SK에너지,광진구
345,강평주유소,서울 광진구 아차산로 616 (광장동),1757.0,N,SK에너지,광진구
346,신성주유소,서울 구로구 구로동로 187 (구로제2동),1509.0,Y,현대오일뱅크,구로구
347,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1512.0,Y,GS칼텍스,구로구
348,SK구로주유소,서울 구로구 구일로 94 (구로동),1512.0,N,SK에너지,구로구
349,처음처럼주유소,서울 구로구 오리로 1299 (궁동),1539.0,N,S-OIL,구로구
350,구인주유소,서울 구로구 경인로 558 (구로동),1542.0,N,SK에너지,구로구
351,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),1555.0,Y,S-OIL,구로구
352,남선석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),1555.0,Y,S-OIL,구로구
353,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1563.0,N,GS칼텍스,구로구
354,서서울고속주유소,서울 구로구 경인로 150 (오류동),1575.0,Y,SK에너지,구로구
355,JHC에너지,서울 구로구 시흥대로 539,1578.0,N,현대오일뱅크,구로구
356,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1581.0,Y,현대오일뱅크,구로구
357,HD현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),1597.0,N,현대오일뱅크,구로구
358,대원셀프주유소,서울 구로구 개봉로 7,1597.0,Y,현대오일뱅크,구로구
359,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),1597.0,N,SK에너지,구로구
360,개봉주유소,서울 구로구 고척로 115 (개봉동),1597.0,Y,현대오일뱅크,구로구
361,HD현대오일뱅크㈜직영 신구로주유소,서울 구로구 가마산로 293 (구로동),1599.0,N,현대오일뱅크,구로구
362,근린공원주유소,서울 구로구 고척로 199 (고척동),1687.0,N,S-OIL,구로구
363,영진주유소,서울 구로구 구로동로 20 (가리봉동),1699.0,N,S-OIL,구로구
364,동아주유소,서울 구로구 도림로 91 (구로동),1898.0,N,S-OIL,구로구
365,구로주유소,서울 구로구 구로동로 137 (구로동),2159.0,N,GS칼텍스,구로구
366,구광주유소,서울 금천구 서부샛길 674 (가산동),1525.0,N,S-OIL,금천구
367,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,1575.0,Y,SK에너지,금천구
368,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),1577.0,Y,알뜰주유소,금천구
369,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1579.0,Y,현대오일뱅크,금천구
370,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1585.0,Y,GS칼텍스,금천구
